bond_sym_id,coupon_rate,issue_date,maturity_date,unsecured_indicator,junior_indicator,convertible_indicator,gvkey,industry
TRI.GH,5.7,2007-10-02,20141001,0,0,0,15704,Printing and Publishing
TRI.GJ,5.95,2008-06-20,20130715,0,0,0,15704,Printing and Publishing
TRI.GK,6.5,2008-06-20,20180715,0,0,0,15704,Printing and Publishing
TRI.GL,4.7,2009-09-29,20191015,0,0,0,15704,Printing and Publishing
TRI.GM,5.85,2010-03-30,20400415,0,0,0,15704,Printing and Publishing
TRI.GN,3.95,2011-10-05,20210930,0,0,0,15704,Printing and Publishing
TRK.GH,8.75,2009-11-16,20160601,0,0,0,31560,Entertainment
TRK.GI,6.75,2011-05-13,20190201,0,0,0,31560,Entertainment
TRN.GD,3.875,2006-06-07,20360601,1,1,1,10735,"Shipbuilding, Railroad Equipment"
TRP.GX,7.25,2008-08-11,20380815,0,0,0,10671,Utilities
TRP.GY,6.5,2008-08-11,20180815,0,0,0,10671,Utilities
TRP.GZ,7.125,2009-01-09,20190115,0,0,0,10671,Utilities
TRP.HA,7.625,2009-01-09,20390115,0,0,0,10671,Utilities
TRP.HB,3.4,2010-06-01,20150601,0,0,0,10671,Utilities
TRP.HC,6.1,2010-06-01,20400601,0,0,0,10671,Utilities
TRP.HD,3.8,2010-09-23,20201001,0,0,0,10671,Utilities
TRS.AB,9.75,2010-12-15,20171215,0,0,0,15252,Automobiles and Trucks
TRV.GC,5.75,2007-05-29,20171215,0,0,0,62689,Insurance
TRV.GD,6.25,2007-05-29,20370615,0,0,0,62689,Insurance
TRV.GE,5.8,2008-05-13,20180515,0,0,0,62689,Insurance
TRV.GF,5.9,2009-06-02,20190602,0,0,0,62689,Insurance
TRV.GH,3.9,2010-11-01,20201101,0,0,0,62689,Insurance
TSN.GT,6.6,2006-03-22,20160401,0,0,0,10793,Food Products
TSN.GU,3.25,2008-09-15,20131015,0,0,0,10793,Food Products
TSN.GW,10.5,2009-08-21,20140301,0,0,0,10793,Food Products
TSO.GI,6.625,2006-10-26,20151101,0,0,0,10466,Petroleum and Natural Gas
TSO.GJ,6.25,2006-10-26,20121101,0,0,0,10466,Petroleum and Natural Gas
TSO.GL,6.5,2007-11-19,20170601,0,0,0,10466,Petroleum and Natural Gas
TSO.GM,9.75,2009-06-05,20190601,0,0,0,10466,Petroleum and Natural Gas
TTC.GC,6.625,2007-04-26,20370501,0,0,0,10618,Machinery
TTMI.GA,3.25,2008-05-14,20150515,0,0,0,139804,Electrical Equipment
TTWO.GA,4.375,2009-06-03,20140601,0,0,0,64630,Business Services
TUC.GB,7.625,2005-12-02,20150815,0,0,0,65630,Personal Services
TV.GN,6.625,2005-08-31,20250318,0,0,0,29850,Communication
TV.GP,6.0,2008-08-15,20180515,0,0,0,29850,Communication
TV.GS,6.625,2010-03-16,20400115,0,0,0,29850,Communication
TWCA.AB,4.0,2011-09-12,20210901,0,0,0,176404,Communication
TWCA.GD,5.4,2007-10-30,20120702,0,0,0,176404,Communication
TWCA.GE,5.85,2007-10-30,20170501,0,0,0,176404,Communication
TWCA.GG,6.2,2008-06-19,20130701,0,0,0,176404,Communication
TWCA.GH,6.75,2008-06-19,20180701,0,0,0,176404,Communication
TWCA.GK,8.75,2008-11-18,20190214,0,0,0,176404,Communication
TWCA.GL,8.25,2008-11-18,20140214,0,0,0,176404,Communication
TWCA.GM,8.25,2009-03-26,20190401,0,0,0,176404,Communication
TWCA.GN,7.5,2009-03-26,20140401,0,0,0,176404,Communication
TWCA.GP,5.0,2009-12-11,20200201,0,0,0,176404,Communication
TWCA.GQ,3.5,2009-12-11,20150201,0,0,0,176404,Communication
TWCA.GV,4.125,2010-11-15,20210215,0,0,0,176404,Communication
TWGP.GC,5.0,2010-09-20,20140915,0,0,0,160416,Insurance
TWI.GH,7.875,2011-08-04,20171001,0,0,0,28295,Steelworks Etc
TWX.AT,5.875,2006-11-13,20161115,0,0,0,25056,Communication
TWX.AU,6.5,2006-11-13,20361115,0,0,0,25056,Communication
TWX.AV,6.2,2010-03-11,20400315,0,0,0,25056,Communication
TWX.AW,4.875,2010-03-11,20200315,0,0,0,25056,Communication
TWX.AX,3.15,2010-07-14,20150715,0,0,0,25056,Communication
TWX.AY,4.7,2010-07-14,20210115,0,0,0,25056,Communication
TWX.AZ,6.1,2010-07-14,20400715,0,0,0,25056,Communication
TWX.BA,4.75,2011-04-01,20210329,0,0,0,25056,Communication
TWX.BB,6.25,2011-04-01,20410329,0,0,0,25056,Communication
TWX.BC,5.375,2011-10-17,20411015,0,0,0,25056,Communication
TWX.BD,4.0,2011-10-17,20220115,0,0,0,25056,Communication
TXI.GM,9.25,2011-01-21,20200815,0,0,0,10498,Construction Materials
TXN.GH,0.875,2011-05-23,20130515,0,0,0,10499,Electrical Equipment
TXN.GJ,1.375,2011-05-23,20140515,0,0,0,10499,Electrical Equipment
TXN.GK,2.375,2011-05-23,20160516,0,0,0,10499,Electrical Equipment
TXT.AA,4.625,2011-09-21,20160921,0,0,0,10519,Aircraft
TXT.AB,5.95,2011-09-21,20210921,0,0,0,10519,Aircraft
TXT.IY,6.2,2007-07-17,20370717,0,0,0,144648,Banking
TXT.JB,5.6,2007-12-04,20171201,0,0,0,10519,Aircraft
TXT.JC,4.5,2009-05-05,20130501,0,0,0,10519,Aircraft
TXT.KB,5.4,2008-04-28,20130428,0,0,0,144648,Banking
TXT.KY,6.2,2009-09-17,20150315,0,0,0,10519,Aircraft
TXT.KZ,7.25,2009-09-17,20191001,0,0,0,10519,Aircraft
TXU.KK,5.55,2005-08-15,20141115,0,0,0,10507,Utilities
TXU.KM,6.5,2005-08-15,20241115,0,0,0,10507,Utilities
TXU.KO,6.55,2005-08-15,20341115,0,0,0,10507,Utilities
TYG.GC,3.1,2005-04-11,20450410,0,0,0,260852,Trading
TZIX.GB,2.75,2005-10-05,20251001,0,0,0,124638,Business Services
UAL.IJ,5.0,2006-02-01,20210201,0,0,1,10795,Transportation
UAL.IR,6.0,2009-10-07,20291015,0,0,0,10795,Transportation
UDR.GV,4.0,2005-12-19,20351215,0,0,1,10894,Trading
UFI.GC,11.5,2007-01-23,20140515,0,0,0,10839,Textiles
UHS.GD,7.125,2006-06-30,20160630,0,0,0,11032,Healthcare
UIL.AA,4.625,2010-10-07,20201001,0,0,0,10905,Utilities
UIS.GM,8.0,2005-09-14,20121015,0,0,0,2504,Computers
UIS.GN,8.5,2005-09-14,20151015,0,0,0,2504,Computers
UIS.GO,12.5,2007-12-11,20160115,0,0,0,2504,Computers
UNH.GN,4.875,2005-03-07,20150315,0,0,0,10903,Insurance
UNH.GQ,5.375,2006-03-02,20160315,0,0,0,10903,Insurance
UNH.GR,5.8,2006-03-02,20360315,0,0,0,10903,Insurance
UNH.HA,4.875,2008-02-07,20130215,0,0,0,10903,Insurance
UNH.HB,6.0,2008-02-07,20180215,0,0,0,10903,Insurance
UNH.HC,6.875,2008-02-07,20380215,0,0,0,10903,Insurance
UNH.HE,5.5,2008-02-15,20121115,0,0,0,10903,Insurance
UNH.HH,6.0,2008-02-15,20170615,0,0,0,10903,Insurance
UNH.HI,6.0,2008-02-15,20171115,0,0,0,10903,Insurance
UNH.HJ,6.5,2008-02-15,20370615,0,0,0,10903,Insurance
UNH.HK,6.625,2008-02-15,20371115,0,0,0,10903,Insurance
UNH.HL,3.875,2010-10-25,20201015,0,0,0,10903,Insurance
UNH.HM,5.7,2010-10-25,20401015,0,0,0,10903,Insurance
UNH.HO,5.95,2011-02-17,20410215,0,0,0,10903,Insurance
UNH.HP,1.875,2011-11-10,20161115,0,0,0,10903,Insurance
UNH.HQ,3.375,2011-11-10,20211115,0,0,0,10903,Insurance
UNH.HR,4.625,2011-11-10,20411115,0,0,0,10903,Insurance
UNM.GR,5.625,2010-09-15,20200915,0,0,0,12726,Insurance
UNM.QT,7.125,2009-09-30,20160930,0,0,0,12726,Insurance
UNP.KY,5.65,2007-04-18,20170501,0,0,0,10867,Transportation
UNP.LA,5.45,2007-08-24,20130131,0,0,0,10867,Transportation
UNP.LB,5.75,2007-10-30,20171115,1,0,0,10867,Transportation
UNP.LC,5.7,2008-02-05,20180815,1,0,0,10867,Transportation
UNP.LD,7.875,2008-10-07,20190115,1,1,0,10867,Transportation
UNP.LE,5.125,2009-02-20,20140215,1,0,0,10867,Transportation
UNP.LF,6.125,2009-02-20,20200215,1,0,0,10867,Transportation
UNP.LI,5.78,2010-12-15,20400715,0,0,0,10867,Transportation
UNP.LL,4.75,2011-08-09,20410915,0,0,0,10867,Transportation
UNP.LM,4.163,2011-10-28,20220715,0,0,0,10867,Transportation
UNS.GD,4.5,2005-03-01,20350301,0,0,0,10757,Utilities
UPS.QC,5.5,2008-01-15,20180115,0,0,0,10920,Transportation
UPS.QD,6.2,2008-01-15,20380115,0,0,0,10920,Transportation
UPS.QE,4.5,2008-01-15,20130115,0,0,0,10920,Transportation
UPS.QJ,5.125,2009-03-24,20190401,0,0,0,10920,Transportation
UPS.QK,3.875,2009-03-24,20140401,0,0,0,10920,Transportation
UPS.QL,3.125,2010-11-12,20210115,0,0,0,10920,Transportation
UPS.QM,4.875,2010-11-12,20401115,0,0,0,10920,Transportation
URI.HA,4.0,2009-11-17,20151115,0,0,0,66065,Business Services
USB.OT,0.0,2005-08-17,20350821,0,0,1,4723,Banking
USB.PE,0.0,2006-09-20,20360920,0,0,1,4723,Banking
USB.PJ,0.0,2007-02-06,20370206,0,0,1,4723,Banking
USB.PL,0.0,2005-12-09,20351211,0,0,1,4723,Banking
USCR.AB,9.5,2010-08-31,20150831,0,0,1,120824,Construction Materials
USG.GM,6.3,2007-06-04,20161115,0,0,0,10816,Construction Materials
USG.GN,8.25,2007-09-27,20180115,0,0,0,10816,Construction Materials
USG.GN,9.5,2007-09-27,20180115,0,0,0,10816,Construction Materials
USG.GN,9.75,2007-09-27,20180115,0,0,0,10816,Construction Materials
USTIC.GG,5.75,2008-02-29,20180301,0,0,0,10974,Tobacco Products
USU.GC,3.0,2007-09-28,20141001,0,0,0,112759,Chemicals
UTR.GC,6.0,2007-05-11,20170515,0,0,0,21503,Insurance
UTR.GD,6.0,2010-11-24,20151130,0,0,0,21503,Insurance
UTX.GR,4.875,2005-04-29,20150501,0,0,0,10983,Aircraft
UTX.GS,5.4,2005-04-29,20350501,0,0,0,10983,Aircraft
UTX.GT,6.05,2006-05-26,20360601,0,0,0,10983,Aircraft
UTX.GV,5.375,2007-12-07,20171215,0,0,0,10983,Aircraft
UTX.GW,6.125,2008-05-16,20380715,0,0,0,10983,Aircraft
UTX.GX,6.125,2008-12-18,20190201,0,0,0,10983,Aircraft
UTX.GZ,5.7,2010-02-26,20400415,0,0,0,10983,Aircraft
UTX.HA,4.5,2010-02-26,20200415,0,0,0,10983,Aircraft
UVV.GQ,6.25,2009-11-19,20141201,0,0,0,11017,Wholesale
VAL.GC,5.1,2006-02-28,20150801,0,0,0,11096,Chemicals
VAL.GE,6.05,2007-04-17,20170501,0,0,0,11096,Chemicals
VAL.GF,7.25,2009-06-19,20190615,0,0,0,11096,Chemicals
VC.AA,6.75,2012-01-23,20190415,0,0,0,136648,Automobiles and Trucks
VCI.GJ,8.25,2007-08-15,20150301,0,0,0,25021,Business Services
VCI.GM,6.625,2011-07-01,20210201,0,0,0,25021,Business Services
VEOL.GA,6.0,2008-05-27,20180601,0,0,0,238616,Utilities
VEOL.GB,5.25,2008-05-27,20130603,0,0,0,238616,Utilities
VEOL.GC,6.75,2008-05-27,20380601,0,0,0,238616,Utilities
VFC.GK,5.95,2007-10-15,20171101,0,0,0,11060,Apparel
VFC.GL,6.45,2007-10-15,20371101,0,0,0,11060,Apparel
VFC.GN,3.5,2011-08-24,20210901,0,0,0,11060,Apparel
VGR.GL,11.0,2008-05-28,20150815,0,0,0,13963,Tobacco Products
VGR.GM,6.75,2009-06-30,20141115,0,0,0,13963,Tobacco Products
VGR.GR,11.0,2010-06-11,20150815,0,0,0,13963,Tobacco Products
VIA.HK,6.75,2007-10-05,20371005,0,0,0,165675,Communication
VIA.HL,6.125,2007-10-05,20171005,0,0,0,165675,Communication
VIA.HM,5.625,2009-08-26,20190915,0,0,0,165675,Communication
VIA.HN,4.375,2009-08-26,20140915,0,0,0,165675,Communication
VIA.HO,4.25,2009-09-29,20150915,0,0,0,165675,Communication
VIA.HQ,3.5,2011-03-31,20170401,0,0,0,165675,Communication
VIA.HR,2.5,2011-12-12,20161215,0,0,0,165675,Communication
VIA.HS,3.875,2011-12-12,20211215,0,0,0,165675,Communication
VIAS.GC,8.875,2010-05-21,20160915,0,0,0,64088,Electrical Equipment
VLO.IC,6.125,2007-06-08,20170615,0,0,0,15247,Petroleum and Natural Gas
VLO.ID,6.625,2007-06-08,20370615,0,0,0,15247,Petroleum and Natural Gas
VLO.IE,9.375,2009-03-17,20190315,0,0,0,15247,Petroleum and Natural Gas
VLO.IF,10.5,2009-03-17,20390315,0,0,0,15247,Petroleum and Natural Gas
VLO.IG,4.5,2010-02-08,20150201,0,0,0,15247,Petroleum and Natural Gas
VLO.IH,6.125,2010-02-08,20200201,0,0,0,15247,Petroleum and Natural Gas
VMC.GN,5.6,2007-12-11,20121130,0,0,0,11228,Non-Metallic and Industrial Metal Mining
VMC.GO,6.4,2007-12-11,20171130,0,0,0,11228,Non-Metallic and Industrial Metal Mining
VMC.GP,7.15,2007-12-11,20371130,0,0,0,11228,Non-Metallic and Industrial Metal Mining
VMC.GR,6.3,2008-06-20,20130615,0,0,0,11228,Non-Metallic and Industrial Metal Mining
