bond_sym_id	coupon_rate	issue_date	maturity_date	unsecured_indicator	junior_indicator	convertible_indicator
AL.GJ	5.75	20050531	20350601	0	0	0
AL.GK	5	20050531	20150601	0	0	0
ALB.GA	5.1	20050120	20150201	0	0	0
ALGX.GB	12.875	20020701	20080515	0	0	0
ALIM.GJ	8.125	20100727	20161201	0	0	0
ALL.GC	6.75	20020701	20180515	0	0	0
ALL.GD	6.9	20020701	20380515	0	0	0
ALL.GR	6.125	20021217	20321215	0	0	0
ALL.GS	5.35	20030602	20330601	0	0	0
ALL.HM	5	20040816	20140815	0	0	0
ALL.HX	5.55	20050509	20350509	0	0	0
ALL.IF	5.95	20060324	20360401	0	0	0
ALL.LA	6.2	20090513	20140516	0	0	0
ALL.LB	7.45	20090513	20190516	0	0	0
ALY.GB	9	20070105	20140115	0	0	0
ALY.GD	8.5	20070319	20170301	0	0	0
AM.GA	6.1	20020701	20280801	0	0	0
AM.GE	7.375	20060524	20160601	0	0	0
AM.GF	7.375	20060524	20160601	0	0	0
AM.GG	7.375	20090224	20160601	0	0	0
AM.GH	7.375	20111130	20211201	0	0	0
AMAT.GC	7.125	20020701	20171015	0	0	0
AMAT.GG	4.3	20110608	20210615	0	0	0
AMAT.GH	5.85	20110608	20410615	0	0	0
AMAT.GI	2.65	20110608	20160615	0	0	0
AMAX.GE	0	20040211	20240215	0	0	0
AMD.AA	7.75	20110106	20200801	0	0	0
AMD.GF	6	20070427	20150501	0	0	0
AMD.GG	6	20070427	20150501	0	0	0
AMD.GH	5.75	20070814	20120815	0	0	0
AMD.GI	5.75	20070814	20120815	0	0	0
AMD.GL	8.125	20100729	20171215	0	0	0
AMG.GJ	3.95	20080806	20380815	0	0	0
AMGN.BZ	4.95	20100916	20411001	0	0	0
AMGN.GA	8.125	20020701	20970401	0	0	0
AMGN.GE	0	20020701	20320301	0	0	0
AMGN.GI	4.85	20050504	20141118	0	0	0
AMGN.GJ	0	20050506	20320301	0	0	0
AMGN.GN	.375	20060217	20130201	0	0	0
AMGN.GP	5.85	20070530	20170601	0	0	0
AMGN.GR	6.375	20080219	20370601	0	0	0
AMGN.GS	5.85	20080219	20170601	0	0	0
AMGN.GT	6.15	20080523	20180601	0	0	0
AMGN.GU	6.9	20080523	20380601	0	0	0
AMGN.GV	6.4	20090116	20390201	0	0	0
AMGN.GW	5.7	20090116	20190201	0	0	0
AMGN.GX	4.5	20100312	20200315	0	0	0
AMGN.GY	5.75	20100312	20400315	0	0	0
AMGN.GZ	3.45	20100916	20201001	0	0	0
AMGN.HA	2.3	20110630	20160615	0	0	0
AMGN.HB	5.65	20110630	20420615	0	0	0
AMGN.HC	4.1	20110630	20210615	0	0	0
AMGN.HD	2.5	20111110	20161115	0	0	0
AMGN.HE	3.875	20111110	20211115	0	0	0
AMGN.HF	1.875	20111110	20141115	0	0	0
AMGN.HG	5.15	20111110	20411115	0	0	0
AMH.GD	2	20020701	20320306	0	1	0
AMIE.GB	3.75	20070403	20270415	0	0	0
AMKR.AA	6.625	20111027	20210601	0	0	0
AMKR.GN	9.25	20060526	20160601	0	0	0
AMKR.NT	7.375	20101122	20180501	0	0	0
AMLN.GF	3	20070608	20140615	0	0	0
