bond_sym_id	gvkey	industry
IHS4274010	162906	Business Services
IHSV.GI	149578	Business Services
IINC.GA	175739	Printing and Publishing
IKN.GA	1246	Wholesale
IKN.GB	1246	Wholesale
IKN.GC	1246	Wholesale
IKN.GH	1246	Wholesale
ILA.GA	11056	Utilities
ILA.GC	11056	Utilities
ILDR.GB	143689	Trading
ILE.GB	21132	Pharmaceutical Products
ILMN.AA	138205	Measuring and Control Equipment
ILMN.GB	138205	Measuring and Control Equipment
ILMN4132544	138205	Measuring and Control Equipment
ILMN4259410	138205	Measuring and Control Equipment
ILMN4259414	138205	Measuring and Control Equipment
IM.AA	63919	Wholesale
IM.GA	63919	Wholesale
IM3887084	63919	Wholesale
IM4193732	63919	Wholesale
IMA.GB	146156	Pharmaceutical Products
IMA.GD	146156	Pharmaceutical Products
IMA.GE	146156	Pharmaceutical Products
IMA.GF	146156	Pharmaceutical Products
IMA.GG	146156	Pharmaceutical Products
IMAX.GB	30312	Consumer Goods
IMAX.GD	30312	Consumer Goods
IMCL.GB	24699	Pharmaceutical Products
IMCL.GC	24699	Pharmaceutical Products
IMCL.GD	24699	Pharmaceutical Products
IMGN4510109	17101	Pharmaceutical Products
IMKT.GB	12972	Retail
IMKT.GE	12972	Retail
IMKT4071746	12972	Retail
IMKTA.GB	12972	Retail
IMKTA3676130	12972	Retail
IMMU.GB	5902	Pharmaceutical Products
IMMU4339413	5902	Pharmaceutical Products
IMO.GA	5903	Petroleum and Natural Gas
IMR.GB	13712	Steelworks Etc
IMY.GA	220507	Steelworks Etc
INCY.GB	29127	Business Services
INCY.GD	29127	Business Services
INCY.GF	29127	Business Services
INCY.GH	29127	Business Services
INCY4188515	29127	Business Services
INCY4188687	29127	Business Services
INFA.GA	120134	Business Services
INFA.GB	120134	Business Services
INFN4132200	177257	Computers
INFO4403886	162906	Business Services
INFO4453530	162906	Business Services
ING3667504	15617	Insurance
ING4031040	16384	Insurance
ING4031041	16384	Insurance
ING4031042	16384	Insurance
ING4085870	16384	Insurance
ING4232262	15617	Insurance
ING4232263	15617	Insurance
ING4371108	16384	Insurance
ING4371109	16384	Insurance
ING4475506	15617	Insurance
ING4475507	15617	Insurance
ING4475508	15617	Insurance
ING4512105	16384	Insurance
INHL.GB	30137	Pharmaceutical Products
INHL.GD	30137	Pharmaceutical Products
INMT.GB	6044	Steelworks Etc
INSG4442779	141178	Electrical Equipment
INSZ3987486	12010	Communication
INSZ3987487	12010	Communication
INSZ3987489	12010	Communication
INTC.AA	6008	Electrical Equipment
INTC.AB	6008	Electrical Equipment
INTC.AC	6008	Electrical Equipment
INTC.GD	6008	Electrical Equipment
INTC.GE	6008	Electrical Equipment
INTC3940192	6008	Electrical Equipment
INTC3940209	6008	Electrical Equipment
INTC3940212	6008	Electrical Equipment
INTC3940217	6008	Electrical Equipment
INTC4270895	6008	Electrical Equipment
INTC4270896	6008	Electrical Equipment
INTC4270897	6008	Electrical Equipment
INTC4270898	6008	Electrical Equipment
